EmployeeId,Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Over18_Y,OverTime_No,OverTime_Yes,Attrition
554,50,1115,1,3,1,1,73,3,5,2,18172,9755,3,19,3,1,80,0,28,1,2,8,3,0,7,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,0.0
555,32,977,2,3,1,4,45,3,2,2,5470,25518,0,13,3,3,80,2,10,4,2,9,5,1,6,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,0.0
556,33,1277,15,1,1,2,56,3,3,3,13610,24619,7,12,3,4,80,0,15,2,4,7,6,7,7,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,1.0
557,46,1034,18,1,1,1,86,3,3,3,10527,8984,5,11,3,4,80,0,28,3,2,2,2,1,2,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,0.0
558,33,1017,25,3,1,1,55,2,1,2,2313,2993,4,20,4,2,80,0,5,0,3,2,2,2,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,1.0
559,37,397,7,4,1,1,30,3,3,3,13664,25258,4,13,3,1,80,0,16,3,4,5,2,0,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,0.0
560,23,977,10,3,1,4,45,4,1,3,2073,12826,2,16,3,4,80,1,4,2,3,2,2,2,2,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.0
561,26,775,29,2,1,1,45,3,2,3,4306,4267,5,12,3,1,80,2,8,5,3,0,0,0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,0.0
562,25,977,2,1,1,4,57,3,1,3,3977,7298,6,19,3,3,80,1,7,2,2,2,2,0,2,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,0.0
563,50,854,1,4,1,4,68,3,5,4,19517,24118,3,11,3,3,80,1,32,3,2,7,0,0,6,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,0.0
564,38,1245,14,3,1,3,80,3,2,2,9924,12355,0,11,3,4,80,1,10,3,3,9,8,7,7,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
565,58,601,7,4,1,3,53,2,3,1,10008,12023,7,14,3,4,80,0,31,0,2,10,9,5,9,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,1.0
566,31,329,1,2,1,4,98,2,1,1,2218,16193,1,12,3,3,80,1,4,3,3,4,2,3,2,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
567,26,921,1,1,1,1,66,2,1,3,2007,25265,1,13,3,3,80,2,5,5,3,5,3,1,3,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,0.0
568,30,464,4,3,1,3,40,3,1,4,2285,3427,9,23,4,3,80,0,3,4,3,1,0,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,1.0
569,56,310,7,2,1,4,72,3,1,3,2339,3666,8,11,3,4,80,1,14,4,1,10,9,9,8,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
570,33,430,7,3,1,4,54,3,2,1,4373,17456,0,14,3,1,80,2,5,2,3,4,3,0,3,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
571,46,261,21,2,1,4,66,3,2,2,8926,10842,4,22,4,4,80,1,13,2,4,9,7,3,7,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,0.0
572,59,1089,1,2,1,2,66,3,3,4,11904,11038,3,14,3,3,80,1,14,1,1,6,4,0,4,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,0.0
573,45,1385,20,2,1,3,79,3,4,4,13496,7501,0,14,3,2,80,0,21,2,3,20,7,4,10,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,0.0
574,29,574,20,1,1,4,40,3,1,4,3812,7003,1,13,3,2,80,0,11,3,4,11,8,3,10,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
575,32,801,1,4,1,3,48,3,3,4,10422,24032,1,19,3,3,80,2,14,3,3,14,10,5,7,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
576,58,1272,5,3,1,3,37,2,3,2,10552,9255,2,13,3,4,80,1,24,3,3,6,0,0,4,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,0.0
577,28,440,21,3,1,3,42,3,1,4,2713,6672,1,11,3,3,80,1,5,2,1,5,2,0,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.0
578,30,852,10,3,1,3,72,2,2,3,6578,2706,1,18,3,1,80,1,10,3,3,10,3,1,4,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
579,46,1211,5,4,1,1,98,3,2,4,5772,20445,4,21,4,3,80,0,14,4,3,9,6,0,8,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,0.0
580,31,1060,1,3,1,4,54,3,1,2,2302,8319,1,11,3,1,80,0,3,2,4,3,2,2,2,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,1.0
581,31,202,8,3,1,1,34,2,1,2,1261,22262,1,12,3,3,80,0,1,3,4,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,1.0
582,22,1256,19,1,1,3,80,3,1,4,2323,11992,1,24,4,1,80,2,2,6,3,2,2,2,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.0
583,22,1123,16,2,1,4,96,4,1,4,2935,7324,1,13,3,2,80,2,1,2,2,1,0,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,0.0
584,36,852,5,4,1,2,82,2,1,1,3419,13072,9,14,3,4,80,1,6,3,4,1,1,0,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,0.0
585,43,185,10,4,1,3,33,3,1,4,2455,10675,0,19,3,1,80,0,9,5,3,8,7,1,7,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,0.0
586,35,130,25,4,1,4,96,3,1,2,2022,16612,1,19,3,1,80,1,10,3,2,10,2,7,8,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,1.0
587,60,1499,28,3,1,3,80,2,3,1,10266,2845,4,19,3,4,80,0,22,5,4,18,13,13,11,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
588,34,131,2,3,1,3,86,3,2,1,4538,6039,0,12,3,4,80,0,4,3,3,3,2,0,2,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,0.0
589,39,1122,6,3,1,4,70,3,1,1,2404,4303,7,21,4,4,80,0,8,2,1,2,2,2,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,1.0
590,38,770,10,4,1,3,73,2,3,3,8740,5569,0,14,3,2,80,2,9,2,3,8,7,2,7,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,0.0
591,31,1154,2,2,1,1,54,3,1,3,3067,6393,0,19,3,3,80,1,3,1,3,2,2,1,2,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,0.0
592,43,574,11,3,1,1,30,3,3,3,7510,16873,1,17,3,2,80,1,10,1,3,10,9,0,9,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,0.0
593,33,587,10,1,1,1,38,1,1,4,3408,6705,7,13,3,1,80,3,8,2,3,4,3,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,1.0
594,25,891,4,2,1,2,99,2,2,4,4487,12090,1,11,3,2,80,0,5,3,3,5,4,1,3,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,0.0
595,49,1495,5,4,1,1,96,3,2,3,6651,21534,2,14,3,2,80,1,20,0,2,3,2,1,2,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,0.0
596,33,1313,1,2,1,2,59,2,1,3,2008,20439,1,12,3,3,80,3,1,2,2,1,1,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,0.0
597,45,788,24,4,1,2,36,3,1,2,2177,8318,1,16,3,1,80,0,6,3,3,6,3,0,4,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,0.0
598,43,982,12,3,1,1,59,2,4,2,14336,4345,1,11,3,3,80,1,25,3,3,25,10,3,9,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,0.0
599,34,829,15,3,1,2,71,3,4,1,17007,11929,7,14,3,4,80,2,16,3,2,14,8,6,9,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,0.0
600,35,670,10,4,1,1,51,3,2,3,6142,4223,3,16,3,3,80,0,10,4,3,5,2,0,4,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,0.0
601,34,1333,10,4,1,3,87,3,1,3,2220,18410,1,19,3,4,80,1,1,2,3,1,1,0,0,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,0.0
602,23,310,10,1,1,1,79,4,1,3,3505,19630,1,18,3,4,80,0,2,3,3,2,2,0,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,0.0
603,37,571,10,1,1,4,82,3,1,1,2782,19905,0,13,3,2,80,2,6,3,2,5,3,4,3,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,0.0
604,35,384,8,4,1,1,72,3,1,4,2572,20317,1,16,3,2,80,1,3,1,2,3,2,0,2,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,0.0
605,36,530,3,1,1,3,51,2,3,4,10325,5518,1,11,3,1,80,1,16,6,3,16,7,3,7,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,1.0
606,23,1309,26,1,1,3,83,3,1,4,2904,16092,1,12,3,3,80,2,4,2,2,4,2,0,2,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,0.0
607,25,883,26,1,1,3,32,3,2,4,6180,22807,1,23,4,2,80,0,6,5,2,6,5,1,4,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.0
608,40,611,7,4,1,2,88,3,5,2,19833,4349,1,14,3,2,80,0,21,3,2,21,8,12,8,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,0.0
609,43,1344,7,3,1,4,37,4,1,4,2089,5228,4,14,3,4,80,3,7,3,4,5,4,2,2,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,0.0
610,41,1085,2,4,1,2,57,1,1,4,2778,17725,4,13,3,3,80,1,10,1,2,7,7,1,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,1.0
611,25,1356,10,4,1,3,57,3,2,4,4950,20623,0,14,3,2,80,0,5,4,3,4,3,1,1,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.0
612,34,479,7,4,1,1,35,3,1,4,2972,22061,1,13,3,3,80,0,1,4,1,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,0.0
613,52,1490,4,2,1,4,30,3,4,4,16555,10310,2,13,3,4,80,0,31,2,1,5,2,1,4,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,0.0
614,36,541,3,4,1,1,48,2,3,4,9699,7246,4,11,3,1,80,1,16,2,3,13,9,1,12,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
615,45,556,25,2,1,2,93,2,2,4,5906,23888,0,13,3,4,80,2,10,2,2,9,8,3,8,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,0.0
616,28,289,2,2,1,3,38,2,1,1,2561,5355,7,11,3,3,80,0,8,2,2,0,0,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,0.0
617,26,1066,2,2,1,4,32,4,2,4,5472,3334,1,12,3,2,80,0,8,2,3,8,7,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,0.0
618,56,1240,9,3,1,1,63,3,1,3,2942,12154,2,19,3,2,80,1,18,4,3,5,4,0,3,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.0
619,34,878,10,4,1,4,43,3,1,3,3815,5972,1,17,3,4,80,1,5,4,4,5,3,2,0,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,0.0
620,38,395,9,3,1,2,98,2,1,2,2899,12102,0,19,3,4,80,1,3,3,3,2,2,1,2,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,0.0
621,36,1403,6,3,1,4,47,3,1,4,3210,20251,0,11,3,3,80,1,16,4,3,15,13,10,11,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
622,39,116,24,1,1,1,52,3,2,4,4108,5340,7,13,3,1,80,0,18,2,3,7,7,1,7,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,0.0
623,26,192,1,2,1,1,59,2,1,1,3955,11141,1,16,3,1,80,2,6,2,3,5,3,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
624,43,343,9,3,1,1,52,3,1,3,2438,24978,4,13,3,3,80,0,7,2,2,3,2,1,2,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,0.0
625,23,571,12,2,1,4,78,3,1,4,2647,13672,1,13,3,3,80,0,5,6,4,5,2,1,4,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,0.0
626,29,408,23,1,1,4,45,2,3,1,7336,11162,1,13,3,1,80,1,11,3,1,11,8,3,10,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,1.0
627,27,1157,17,3,1,3,51,3,1,2,3058,13364,0,16,3,4,80,1,6,3,2,5,2,1,1,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,0.0
628,31,667,1,4,1,2,50,1,1,3,1359,16154,1,12,3,2,80,0,1,3,3,1,0,0,0,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,1.0
629,43,775,15,3,1,4,47,2,2,4,6804,23683,3,18,3,3,80,1,7,5,3,2,2,2,2,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
630,45,589,2,4,1,3,67,3,2,3,5154,19665,4,22,4,2,80,2,10,3,4,8,7,5,7,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
631,36,1434,8,4,1,1,76,2,3,1,7587,14229,1,15,3,2,80,0,10,1,3,10,7,0,9,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.0
632,40,329,1,4,1,2,88,3,1,2,2387,6762,3,22,4,3,80,1,7,3,3,4,2,0,3,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
633,22,594,2,1,1,3,100,3,1,4,2523,19299,0,14,3,3,80,1,3,2,3,2,1,2,1,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
634,26,1384,3,4,1,1,82,4,1,4,4420,13421,1,22,4,2,80,1,8,2,3,8,7,0,7,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
635,31,1232,7,4,1,3,39,3,3,4,7143,25713,1,14,3,3,80,0,11,2,2,11,9,4,10,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,0.0
636,28,280,1,2,1,3,43,3,1,4,2706,10494,1,15,3,2,80,1,3,2,3,3,2,2,2,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,0.0
637,52,1030,5,3,1,2,64,3,3,2,8446,21534,9,19,3,3,80,0,10,2,2,8,7,7,7,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,1.0
638,28,1158,9,3,1,4,94,3,1,4,2070,2613,1,23,4,4,80,1,5,3,2,5,2,0,4,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.0
639,37,1439,4,1,1,3,54,3,1,3,2996,5182,7,15,3,4,80,0,8,2,3,6,4,1,3,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,0.0
640,36,884,1,4,1,2,73,3,2,3,6815,21447,6,13,3,1,80,0,15,5,3,1,0,0,0,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.0
641,24,240,22,1,1,4,58,1,1,3,1555,11585,1,11,3,3,80,1,1,2,3,1,0,0,0,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,0.0
642,41,642,1,3,1,4,76,3,1,4,2782,21412,3,22,4,1,80,1,12,3,3,5,3,1,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.0
643,35,1490,11,4,1,4,43,3,1,3,2660,20232,7,11,3,3,80,1,5,3,3,2,2,2,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,0.0
644,36,884,23,2,1,3,41,4,2,4,2571,12290,4,17,3,3,80,1,17,3,3,5,2,0,3,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
645,42,188,29,3,1,2,56,1,2,4,4272,9558,4,19,3,1,80,0,16,3,3,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,0.0
646,44,111,17,3,1,4,74,1,1,3,2290,4279,2,13,3,4,80,0,6,3,3,0,0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,0.0
647,28,1144,10,1,1,4,74,3,1,2,1052,23384,1,22,4,2,80,0,1,5,3,1,0,0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,0.0
648,33,1099,4,4,1,1,82,2,1,2,3838,8192,8,11,3,4,80,0,8,5,3,5,4,0,2,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
649,31,1332,11,2,1,3,80,3,2,1,6833,17089,1,12,3,4,80,0,6,2,2,6,5,0,1,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,0.0
650,29,1370,3,1,1,2,87,3,1,1,4723,16213,1,18,3,4,80,0,10,3,3,10,9,1,5,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,0.0
651,19,303,2,3,1,2,47,2,1,4,1102,9241,1,22,4,3,80,0,1,3,2,1,0,1,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,1.0
652,37,1373,2,2,1,4,92,2,1,3,2090,2396,6,15,3,2,80,0,7,3,3,0,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,1.0
653,45,252,2,3,1,2,95,2,1,3,2274,6153,1,14,3,4,80,0,1,3,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,0.0
654,50,804,9,3,1,1,64,3,1,4,2380,20165,4,18,3,2,80,0,8,5,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
655,51,1456,1,4,1,1,30,2,3,1,7484,25796,3,20,4,3,80,0,23,1,2,13,12,12,8,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,0.0
656,42,603,7,4,1,2,78,4,2,2,2372,5628,6,16,3,4,80,0,18,2,3,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,0.0
657,32,1093,6,4,1,2,87,3,2,3,5010,24301,1,16,3,1,80,0,12,0,3,11,8,5,7,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.0
658,32,689,9,2,1,4,35,1,2,4,4668,22812,0,17,3,4,80,3,9,2,4,8,7,0,7,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,0.0
659,32,827,1,1,1,4,71,3,1,1,2956,15178,1,13,3,4,80,0,1,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,0.0
660,35,104,2,3,1,1,69,3,1,1,2074,26619,1,12,3,4,80,1,1,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,0.0
661,33,536,10,5,1,4,82,4,3,3,8380,21708,0,14,3,4,80,2,10,3,3,9,8,0,8,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,0.0
662,47,955,4,2,1,4,83,3,2,4,4163,8571,1,17,3,3,80,0,9,0,3,9,0,0,7,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,0.0
663,31,741,2,4,1,2,69,3,1,3,3477,18103,1,14,3,4,80,1,6,2,4,5,2,0,3,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,0.0
664,20,1097,11,3,1,4,98,2,1,1,2600,18275,1,15,3,1,80,0,1,2,3,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,1.0
665,29,408,25,5,1,3,71,2,1,2,2546,18300,5,16,3,2,80,0,6,2,4,2,2,1,1,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,1.0
666,35,1182,11,2,1,4,54,3,2,4,4968,18500,1,11,3,4,80,1,5,3,3,5,2,0,2,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,0.0
667,29,1283,23,3,1,4,54,3,1,4,2201,18168,9,16,3,4,80,0,6,4,3,3,2,1,2,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,0.0
668,24,693,3,2,1,1,65,3,2,3,4577,24785,9,14,3,1,80,0,4,3,3,2,2,2,0,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,1.0
